STN Code,Name of Monitoring Location,Type Water Body,State Name,Min Temperature,Max Temperature,Min Dissolved Oxygen,Max Dissolved Oxygen,Min pH,Max pH,Min Conductivity,Max Conductivity,Min BOD,Max BOD,Min Nitrate N + Nitrite N,Max Nitrate N + Nitrite N,Min Fecal Coliform,Max Fecal Coliform,Min Total Coliform,Max Total Coliform
4674,"MEEDI KUNTA, HAFEEZPET (V)",LAKE,TELANGANA,28.0,29.0,0.1,0.1,7.1,7.9,1020,1440,14.00,22.00,0.70,9.00,20,22,220,350
4676,"BANDA CHERUVU, MALKAJIGIRI (V), 
MALKAJIGIRI (NEW MANDAL)",LAKE,TELANGANA,26.0,30.0,0.1,5.4,6.9,7.9,1271,1739,28.00,44.00,16.00,56.46,BDL,32,BDL,430
4681,"PHAKAL CHERUVU, NARSAMPET",LAKE,TELANGANA,26.0,29.0,5.8,6.8,7.1,8.0,218,273,2.00,3.00,0.10,2.00,2,2,BDL,18
4682,"BANDAM CHERUVU, HANAMKONDA",LAKE,TELANGANA,26.0,30.0,0.0,2.2,7.2,8.1,1323,1694,6.00,30.00,10.00,21.00,20,212,220,540
4683,"PEDDA CHERUVU, MADIKONDA",LAKE,TELANGANA,3.6,29.0,1.2,7.6,7.0,7.6,470,734,3.00,4.00,0.30,2.60,2,35,BDL,340
4684,"CAMPUS LAKE, ICRISAT",LAKE,TELANGANA,23.0,28.0,2.0,7.0,6.6,7.5,169,799,1.60,4.80,2.23,9.40,2,40,220,720
4685,SURISIGAL LAKE ICRISAT,LAKE,TELANGANA,23.0,25.0,5.4,7.3,6.7,7.4,456,2586,3.00,12.00,3.29,22.47,2,6,140,540
4686,"ICRISAT LAKE, ICRISAT",LAKE,TELANGANA,23.0,25.0,4.1,7.1,6.8,7.4,517,1447,2.60,13.00,6.35,14.48,2,7,BDL,1400
4687,"RED LAKE, ICRISAT",LAKE,TELANGANA,24.0,25.0,4.7,7.4,6.7,7.4,637,1184,2.00,22.00,5.42,19.57,2,60,280,12000
4688,NARINJA LAKE,LAKE,TELANGANA,24.0,24.0,6.2,6.5,7.1,7.4,443,641,2.00,2.70,8.38,10.30,2,2,BDL,BDL
4690,"BANJARA KUNTA (SINGADI KUNTA(, SHAIKPET",LAKE,TELANGANA,25.0,29.0,1.2,4.5,7.0,7.5,520,980,6.00,14.00,5.00,26.47,3,17,154,330
4691,"NAGOLE CHERUVU, UPPAL (V)",LAKE,TELANGANA,27.0,28.0,0.1,2.0,7.3,7.4,1172,1252,8.00,14.00,8.00,18.00,28,32,350,430
